what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257478349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257478403
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299257478550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257497589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257498680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257498708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257501058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257502149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257502204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257505479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257507182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257507221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257517083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257518754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257523963
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299257525347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257525350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257525370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257529815
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1299257540343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257577291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257584933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257607547
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299257607844
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299257608001
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299257610623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257620251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257643803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257649814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257655457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257662260
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299257663665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257663827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257663869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257670700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257671745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257671761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257676639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257683338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257686695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257687351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257690026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257691696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257694365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257703937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257720848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257739741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257752043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257758498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257761178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257765083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257775899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257779106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257782236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257785064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257787886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257788900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257788933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299257792552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299257796716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299257797372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257803021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257822994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257824457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257840311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257841904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257847668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257848714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257854277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257854962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257859270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257860503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257860538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257861378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257869893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257874269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257881447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257884034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257885375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257886575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257901298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257905521
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257906481
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1299257907136
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1299257907163
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1299257907165
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1299257907166
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1299257907167
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1299257907171
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1299257907171
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1299257907176
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1299257907176
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1299257907176
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1299257907177
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1299257907181
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1299257907182
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1299257907184
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1299257907186
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1299257907187
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1299257907187
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1299257907190
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1299257907190
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1299257907190
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1299257907190
